stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
17904,,RAFAEL ALDUCÍN,Rosario Puerto Aereo,19.49587405,-99.19931173,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17856,,TALISMÁN_1_3,San Felipe Metro Hidalgo,19.47794475,-99.11967435,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
18149,,RUMANIA,EJE 7,19.36865144,-99.14598119,San Andrés Tetepilco - Metro Mixcoac,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
15149,,RADAMÉS TREVIÑO,,19.41140713,-99.10410361,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
15125,,QUERÉTARO,,19.41441431,-99.16374952,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
17770,,J. SÁNCHEZ TRUJILLO,Rosario Chapultepec,19.45934726,-99.1787503,Metro El Rosario - Metro Chapultepec,STE,Metro El Rosario - Metro Chapultepec
17781,,HORACIO_1,Rosario Chapultepec,19.43333887,-99.18202548,Metro El Rosario - Metro Chapultepec,STE,Metro El Rosario - Metro Chapultepec
18063,,MANUEL GONZÁLEZ_1_3,EJE Central,19.4539704,-99.13825354,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
17810,,JOSÉ DE LA LUZ ROSAS,San Felipe Metro Hidalgo,19.48067614,-99.10140165,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
18058,,MADERO,EJE Central,19.43392434,-99.14082842,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
18195,,MANUEL DE ANDA Y BARREDO,Circuitio Politecnico,19.50350734,-99.13597086,Terminal Zacatenco,STE,Circuito Politécnico
15100,,LA VIGA_1_3,,19.41351395,-99.12768697,Metro Velódromo - Metro Chapultepec,STE,Corredor Cero Emisiones Eje 2 - 2a sur
18106,,EUGENIA_1,EJE Central,19.38421067,-99.14747,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18198,,FTE. EDIF. 4 ESIME,Circuitio Politecnico,19.49959994,-99.13630277,Terminal Zacatenco,STE,Circuito Politécnico
15075,,FRANCISCO GOITIA,,19.26069685,-99.11122662,Tasqueña - Xochimilco,STE,Tasqueña - Xochimilco
17957,,PLAZA AEROPUERTO,Rosario Puerto Aereo,19.42083323,-99.09598231,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17877,,PUERTO TLACOTALPAN,San Felipe Metro Hidalgo,19.47353058,-99.08117748,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
15122,,PARQUE ESPAÑA_1,,19.41676324,-99.17089331,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
17949,,NORTE 25  I,Rosario Puerto Aereo,19.43252821,-99.09401407,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17952,,NORTE 17,Rosario Puerto Aereo,19.42892049,-99.09600081,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
18124,,OSO,EJE 7,19.3735735,-99.17866945,Metro Mixcoac - San Andrés Tetepilco,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
18159,,20 DE NOVIEMBRE_1,EJE 7,19.37195932,-99.17059522,San Andrés Tetepilco - Metro Mixcoac,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
35637,,22 DE FEBRERO_1_3,,19.47774928,-99.18529987,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17813,,CASA DEL PEREGRINO JUAN DIEGO,San Felipe Metro Hidalgo,19.48338926,-99.10952373,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
18118,,CERRO HUITZILAC,EJE Central,19.34156674,-99.14150476,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
