stop_id,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
20736,Calzada De La Virgen - Tepehuanos,,19.32128849,-99.11118507,Carmen Serdan - San Lázaro,RTP,Metro San Lázaro - Carmen Serdàn
27527,Calzada De Las Águilas - Fresnos,,19.34910843,-99.22570467,Metro Chapultepec - Puete Colorado,RTP,Puente Colorado - Metro Chapultepec
24100,Calzada De Tlalpan - Clínica 10,,19.38587045,-99.13942337,Republica del Salvador - Santiago Tepalcatlalpan,RTP,Santiago Tepalcatlalpan - República del Salvador
24223,Calzada De Tlalpan - Mártires Irlandeses,,19.34927039,-99.14571047,Republica del Salvador - Santiago Tepalcatlalpan,RTP,Santiago Tepalcatlalpan - República del Salvador
24017,Calzada De Tlalpan - Metro Viaducto,,19.40088867,-99.13670897,Santiago Tepalcatlalpan - Republica del Salvador,RTP,Santiago Tepalcatlalpan - República del Salvador
24005,Calzada De Tlalpan - Metro Villa De Cortes,,19.38752009,-99.13877964,Santiago Tepalcatlalpan - Republica del Salvador,RTP,Santiago Tepalcatlalpan - República del Salvador
31842,Calzada De Tlalpan - México Xochimilco,,19.2975244,-99.15186882,Topilejo - Metro Universidad,RTP,Topilejo - Metro Universidad
24075,Calzada De Tlalpan - Unión Postal,,19.39109257,-99.13862944,Republica del Salvador - Santiago Tepalcatlalpan,RTP,Santiago Tepalcatlalpan - República del Salvador
16434,Calzada Ermita Iztapalapa - Cruz Del Sur,,19.35819849,-99.1280508,Metro Mixcoac -  Metro Santa Martha,RTP,Metro Santa Martha -  Metro Mixcoac
16508,Calzada Ermita Iztapalapa - El Manto,,19.34336868,-99.05877471,Metro Mixcoac -  Metro Santa Martha,RTP,Metro Santa Martha -  Metro Mixcoac
16606,Calzada Ermita Iztapalapa - Hidalgo,,19.35606267,-99.00563478,Colonia Miguel de la Madrid-Metro Zaragoza,RTP,Colonia Miguel de la Madrid -  Metro Zaragoza
23325,Avenida 5 De Mayo - Conalep,,19.36008122,-99.21705723,Metro Mixcoac - Tlacuitlapa Puerta Grande,RTP,Metro Mixcoac - Puerta Grande Tlacuitlapa
24840,Avenida 5 de Mayo - Frente Unidad Habitacional Tarango,,19.36178174,-99.21366692,Metro Mixcoac - Tlacuitlapa Puerta Grande,RTP,Metro Mixcoac - Puerta Grande Tlacuitlapa
23118,Avenida 506 - Avenida 543,,19.45494884,-99.0873456,Panteón San Isidro - Aragón Nocturno,RTP,Aragón - Panteón San Isidro (Noche Bus)
23122,Avenida 506 - José Loreto Favela,,19.45326953,-99.08199191,Panteón San Isidro - Aragón Nocturno,RTP,Aragón - Panteón San Isidro (Noche Bus)
22701,Avenida 508 - Calle 503,,19.46309222,-99.09481287,Aragón - Panteón San Isidro Nocturno,RTP,Aragón - Panteón San Isidro (Noche Bus)
22631,Avenida 602 - Calle 608,,19.45141822,-99.07799006,Aragón - Metro Chapultepec por Avenida 604,RTP,Aragón - Metro Chapultepec por Avenida 604
23257,Avenida 604 - Calle 661,,19.4531886,-99.05995488,Metro Chapultepec - Aragón por Avenida 604,RTP,Aragón - Metro Chapultepec por Avenida 604
28203,Avenida Allende - Frente Al No. 43,,19.34097958,-99.28163409,Metro Tacubaya (Cartagena) - Santa Rosa Xochiac,RTP,Santa Rosa Xochiac - Metro Tacubaya
21398,Avenida Antonio Delfín Madrigal - Escuinapa,,19.33267823,-99.17372346,Metro Universidad - San Bernabel/Oyamel,RTP,Metro Universidad - San Bernabé/Oyamel
15561,Avenida Azcapotzalco - Benito Juárez,,19.46369916,-99.18803573,Metro Tacuba -  Metro Martín Carrera  por Ceylán,RTP,Metro Martín Carrera - Metro Tacuba por Ceylán
22319,Avenida Bosques De La Reforma - Bosques De Olivos,,19.39305589,-99.25851345,Col. Navidad ( las piedras) - Metro Tacubaya,RTP,Col. Navidad (Las Piedras) - Metro Tacubaya
27872,Avenida Camino Real  A Toluca - Cristo Rey,,19.39011091,-99.20293808,Metro Tacubaya (Cartagena) - Santa Rosa Xochiac,RTP,Santa Rosa Xochiac - Metro Tacubaya
24253,Avenida Camino Real a Toluca - Chinameca,,19.388269,-99.21390295,Metro Tacubaya - Jesús del Monte (Cuajimalpa) Nocturno,RTP,Jesús del Monte (Cuajimalpa) - Metro Tacubaya (Noche Bus)
25251,Avenida Carlos Hank González - Jarrito,,19.34522121,-99.01088119,Cetram Metro Constitución de 1917 - Ampliación Santiago,RTP,Metro Constitución de 1917 - Ampliación Santiago
23320,Avenida Centenario - Alta Tensión,,19.36642769,-99.20504093,Metro Mixcoac - Tepeaca,RTP,Tepeaca - Metro Mixcoac
26531,Avenida Centenario - Cerrada De Centenario,,19.36507137,-99.21788335,Metro Mixcoac - Tepeaca,RTP,Tepeaca - Metro Mixcoac
20740,Avenida Centenario - Frente Al No. 2760,,19.35112286,-99.24858928,Centro Comercial Santa Fé - Tlacuitlapa/Puerta Grande,RTP,Centro Comercial Santa Fe  - Tlacuitlapa/Puerta Grande
26700,Avenida Centenario - Mejia Delgado,,19.36638721,-99.207412,Tepeaca - Metro Mixcoac,RTP,Tepeaca - Metro Mixcoac
